67;Alexandre Mário Felipe Aparício;23;190.052.002-86;47.826.104-4;07/04/2000;Masculino;Áries;Isabel Yasmin Jennifer;Ian Enrico Guilherme Aparício;alexandre.mario.aparicio@rj.net;57gN3lfuZ9;69099-537;Travessa Iriri;890;Cidade de Deus;Manaus;AM;(92) 2855-8021;(92) 99145-6796;1.92;106.0;A+;laranja;
277;Alexandre Mário Felipe Aparício;23;190.052.002-86;47.826.104-4;07/04/2000;Masculino;Áries;Isabel Yasmin Jennifer;Ian Enrico Guilherme Aparício;alexandre.mario.aparicio@rj.net;57gN3lfuZ9;69099-537;Travessa Iriri;890;Cidade de Deus;Manaus;AM;(92) 2855-8021;(92) 99145-6796;1.92;106.0;A+;laranja;
487;Alexandre Mário Felipe Aparício;23;190.052.002-86;47.826.104-4;07/04/2000;Masculino;Áries;Isabel Yasmin Jennifer;Ian Enrico Guilherme Aparício;alexandre.mario.aparicio@rj.net;57gN3lfuZ9;69099-537;Travessa Iriri;890;Cidade de Deus;Manaus;AM;(92) 2855-8021;(92) 99145-6796;1.92;106.0;A+;laranja;
697;Alexandre Mário Felipe Aparício;23;190.052.002-86;47.826.104-4;07/04/2000;Masculino;Áries;Isabel Yasmin Jennifer;Ian Enrico Guilherme Aparício;alexandre.mario.aparicio@rj.net;57gN3lfuZ9;69099-537;Travessa Iriri;890;Cidade de Deus;Manaus;AM;(92) 2855-8021;(92) 99145-6796;1.92;106.0;A+;laranja;
907;Alexandre Mário Felipe Aparício;23;190.052.002-86;47.826.104-4;07/04/2000;Masculino;Áries;Isabel Yasmin Jennifer;Ian Enrico Guilherme Aparício;alexandre.mario.aparicio@rj.net;57gN3lfuZ9;69099-537;Travessa Iriri;890;Cidade de Deus;Manaus;AM;(92) 2855-8021;(92) 99145-6796;1.92;106.0;A+;laranja;
1117;Alexandre Mário Felipe Aparício;23;190.052.002-86;47.826.104-4;07/04/2000;Masculino;Áries;Isabel Yasmin Jennifer;Ian Enrico Guilherme Aparício;alexandre.mario.aparicio@rj.net;57gN3lfuZ9;69099-537;Travessa Iriri;890;Cidade de Deus;Manaus;AM;(92) 2855-8021;(92) 99145-6796;1.92;106.0;A+;laranja;
1327;Alexandre Mário Felipe Aparício;23;190.052.002-86;47.826.104-4;07/04/2000;Masculino;Áries;Isabel Yasmin Jennifer;Ian Enrico Guilherme Aparício;alexandre.mario.aparicio@rj.net;57gN3lfuZ9;69099-537;Travessa Iriri;890;Cidade de Deus;Manaus;AM;(92) 2855-8021;(92) 99145-6796;1.92;106.0;A+;laranja;
1539;Alexandre Mário Felipe Aparício;23;190.052.002-86;47.826.104-4;07/04/2000;Masculino;Áries;Isabel Yasmin Jennifer;Ian Enrico Guilherme Aparício;alexandre.mario.aparicio@rj.net;57gN3lfuZ9;69099-537;Travessa Iriri;890;Cidade de Deus;Manaus;AM;(92) 2855-8021;(92) 99145-6796;1.92;106.0;A+;laranja;
1749;Alexandre Mário Felipe Aparício;23;190.052.002-86;47.826.104-4;07/04/2000;Masculino;Áries;Isabel Yasmin Jennifer;Ian Enrico Guilherme Aparício;alexandre.mario.aparicio@rj.net;57gN3lfuZ9;69099-537;Travessa Iriri;890;Cidade de Deus;Manaus;AM;(92) 2855-8021;(92) 99145-6796;1.92;106.0;A+;laranja;
1959;Alexandre Mário Felipe Aparício;23;190.052.002-86;47.826.104-4;07/04/2000;Masculino;Áries;Isabel Yasmin Jennifer;Ian Enrico Guilherme Aparício;alexandre.mario.aparicio@rj.net;57gN3lfuZ9;69099-537;Travessa Iriri;890;Cidade de Deus;Manaus;AM;(92) 2855-8021;(92) 99145-6796;1.92;106.0;A+;laranja;
2169;Alexandre Mário Felipe Aparício;23;190.052.002-86;47.826.104-4;07/04/2000;Masculino;Áries;Isabel Yasmin Jennifer;Ian Enrico Guilherme Aparício;alexandre.mario.aparicio@rj.net;57gN3lfuZ9;69099-537;Travessa Iriri;890;Cidade de Deus;Manaus;AM;(92) 2855-8021;(92) 99145-6796;1.92;106.0;A+;laranja;
